Gene_set,Term,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,program_name,overlap_numerator,overlap_denominator
gs_ind_0,EFO_0007989,0.00017085435346379422,0.0036381927031702063,2.4677052882654724,21.406600839537134,ZFP36L2;VMP1;TGIF1;IER5;TNFRSF10B;CEBPD;IFIH1;MAP2K3;NFKBIE;CDKN2B;PNRC1;CXCL6;FOXO1;SDCBP;NRIP1;MARCKS;CSF1;CITED4;PEPD;EIF4E3;S1PR1;NFKB1;CXCL2;CD69;BRI3,18,25,348
gs_ind_0,EFO_0007990,9.31453779671315e-05,0.0021074141765063505,2.6953805827200323,25.016768095438128,EHD4;ZFP36L2;CD69;MAFB;TGIF1;ETS1;CEBPD;CSF3;SLMAP;HHEX;FAM43A;CDKN2B;CXCL6;PLPP3;TNIP1;MYC;NR3C1;LIPA;CMIP;CXCL2;SLC25A37;TRIB1;CAB39,18,23,295
gs_ind_0,EFO_0007991,2.0365664199522203e-07,4.380996876228713e-05,3.2578382943871413,50.19296203519669,ANKRD33B;TGIF1;TSLP;IER5;SOCS1;TRAF1;CEBPD;KLF7;CSF2;HHEX;HIVEP2;CD200;FAM43A;IL6;FOXO1;FOSL1;NRIP1;TNIP1;MYC;BCL3;CXCL8;SMAD3;NFKBIA;PTPN1;S1PR1;CMIP;NFKB1;ICOSLG;TNFAIP3;CXCL2;CD69,18,31,342
gs_ind_0,EFO_0007992,0.17514607912681668,0.39814226627066707,1.7658906910944898,3.0764198297196463,CXCL6;NFKB1;UPP1;CXCL2;CEBPD;TRIB1,18,6,115
gs_ind_0,EFO_0007993,3.220226695939179e-05,0.001059747330845439,2.770802936479671,28.659727316395912,EHD4;ZFP36L2;CD69;MAFB;ETS1;CEBPD;ZSWIM4;CSF3;HHEX;CDKN2B;PIP4K2A;CXCL6;PLPP3;SAMHD1;SBNO2;TNIP1;NR3C1;SMAD3;PTPN1;LIPA;S1PR1;CMIP;CXCL2;TRIB1;CAB39,18,25,314
gs_ind_0,EFO_0007994,2.237815241702081e-06,0.00011964207988031203,4.762066742698468,61.9545383555199,CXCL6;IL6;FOXO1;SMAD3;IRAK2;NFKBIA;CSF2;S1PR1;TNIP1;LRRC32;NFKB1;HHEX;CD200;MYC;CXCL2;CEBPD,18,16,123
gs_ind_0,EFO_0007995,0.23323050272576992,0.42353148270653646,2.138560866395918,3.113163002096286,CXCL6;CXCL2;TRIB1,18,3,51
gs_ind_0,EFO_0007996,2.420440263109786e-07,4.380996876228713e-05,5.376578306136011,81.90757997374459,CXCL6;IL6;FOXO1;SMAD3;IRAK2;CSF2;ANKRD33B;S1PR1;TNIP1;LRRC32;NFKB1;ICOSLG;CD200;FAM43A;CXCL2;MYC;CEBPD,18,17,118
gs_ind_0,EFO_0007997,0.00610371028619977,0.05138472380475155,2.6894914598463657,13.713336253735896,CXCL6;CCL2;FOXO1;ZFP36L2;EIF4E3;PLPP3;CSF3;CXCL2;CDKN2B;CEBPD;CITED4,18,11,140
gs_ind_0,EFO_0008002,0.3069151920243448,0.4727799979268631,4.221299742341826,4.986130942512432,MARCKS,18,1,11
gs_ind_0,EFO_0008039,0.31807745880688143,0.4871189712727814,1.488128783862958,1.7045925097355217,LRP5;ADAMTS9;GPCPD1;CMIP;VEGFA,18,5,114
gs_ind_0,EFO_0008111,0.6562971038417702,0.7332702209590148,1.403091898081878,0.5909004937019131,DMRTA1,18,1,32
gs_ind_0,EFO_0008188,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,IL6ST,18,1,8
gs_ind_0,EFO_0008291,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,TRIB1,18,1,8
gs_ind_0,EFO_0008328,0.9963330485348139,0.9963330485348139,0.3135808313935903,0.0011519991448475572,PHACTR1;ZFP91,18,2,231
gs_ind_0,EFO_0008354,0.9213637336790377,0.9529533474051761,0.6721434261430898,0.05504880690435912,CYLD;CDH4;PTPN1;ZNF385D;PRRC2C;GJC1;ATP23,18,7,330
gs_ind_0,EFO_0008375,0.5148232347718332,0.6379691946428303,1.2828282828282829,0.8517103250255852,SORL1;CDKN2B;ADAMTS9,18,3,83
gs_ind_0,EFO_0008377,0.13818140362833137,0.35729762938182824,4.004839849910272,7.92633072457541,ETS1;IRF1,18,2,20
gs_ind_0,EFO_0008394,0.811889608650728,0.8644236421516575,0.8906904718527965,0.18561178726946276,ATP23,18,1,50
gs_ind_0,EFO_0008446,0.6785386669398811,0.7534693172768004,1.3189662907905364,0.5115133457553998,S1PR1,18,1,34
gs_ind_0,EFO_0008447,0.09490434136435907,0.27321981914331084,5.112398529105668,12.039114841673458,S1PR1;PLPP3,18,2,16
gs_ind_0,EFO_0008579,0.9602043712249744,0.9819039050379682,0.49011239152084224,0.019903038059452913,CYLD;CD34,18,2,150
gs_ind_0,EFO_0009101,0.09229745631436814,0.27321981914331084,3.4090081139261468,8.12277555056612,HIVEP2;PDE4B;ARL14EP,18,3,33
gs_ind_0,EFO_0009253,0.09965660242178992,0.28184132872412465,1.6263295997671636,3.7503566801806536,EHD4;ZFP36L2;NCOA7;BMP2;PLPP3;PPP1R15A;FNDC3B;BAZ1A;SBNO2;JAG1;PDCD5;VEGFA,18,12,242
gs_ind_0,EFO_0009259,0.593757536788811,0.6867099946247591,1.6689605626347033,0.8700028220851294,CDKN2B,18,1,27
gs_ind_0,EFO_0009260,0.31891490660676575,0.4871189712727814,2.207123337037148,2.5223688870276266,CDKN2B;TICAM1,18,2,35
gs_ind_0,EFO_0009270,0.20734249555374099,0.4160580662065497,1.2665021433024208,1.9926933028328067,DUSP5;EHD4;FOXC2;ADAM12;SEPTIN11;VEGFA;NSUN2;ETS2;FOXO1;PLPP3;MARCKS;SBNO2;MMD;ZNF827;SAMD4A;SMAD3;ARL14EP;GPCPD1;CMIP;CLDN14;BRI3,18,21,529
gs_ind_0,EFO_0009388,0.0007774560611846666,0.011257563765953972,3.587955676890959,25.687909210726723,CXCL6;EHD4;VMP1;PLPP3;LIPA;ETS1;CSF3;CD34;CXCL2;TRIB1;VEGFA,18,11,108
gs_ind_0,EFO_0009389,2.313520881663492e-06,0.00011964207988031203,4.479207973140878,58.12551728517748,IL6;FOXO1;SMAD3;IRAK2;NFKBIA;ANKRD33B;CSF2;ETS1;S1PR1;TNIP1;LRRC32;NFKB1;ICOSLG;HHEX;CD200;MYC;CEBPD,18,17,138
gs_ind_0,EFO_0009390,0.0007774560611846666,0.011257563765953972,3.587955676890959,25.687909210726723,CXCL6;EHD4;VMP1;PLPP3;LIPA;ETS1;CSF3;CD34;CXCL2;TRIB1;VEGFA,18,11,108
gs_ind_0,EFO_0009433,0.009670654041338145,0.07448461197796614,9.064646464646465,42.04780694785455,TSLP;IRF1;SMAD3,18,3,14
gs_ind_0,EFO_0009458,0.10531746499994371,0.2910299414502261,4.781917310313494,10.763024783686546,SORL1;PDE4B,18,2,17
gs_ind_0,EFO_0009552,0.6421088873740798,0.7263856788419278,1.1415001637733377,0.5056815854420558,CDKN2B;SMAD3,18,2,66
gs_ind_0,EFO_0009700,0.8673752398122843,0.9127611535233922,0.7007114457077392,0.09969974234908727,LRRC37A3;TMEFF2,18,2,106
gs_ind_0,EFO_0009718,0.8563981989189287,0.9038371662059831,0.7237106042759753,0.11218949148079012,SORL1;IRF1;JAG1,18,3,144
gs_ind_0,EFO_0009749,0.9868777527760185,0.9943684300847486,0.33941033818609984,0.004483306655824372,PDE4B,18,1,129
gs_ind_0,EFO_0009759,0.016805914097474395,0.11061347096883146,7.186276558690352,29.363301542961487,TSLP;IRF1;SMAD3,18,3,17
gs_ind_0,EFO_0009767,0.10531746499994371,0.2910299414502261,4.781917310313494,10.763024783686546,TRIB1;IRF1,18,2,17
gs_ind_0,EFO_0009780,0.4326591294068168,0.591028697529312,2.684095463654582,2.2487488442207755,NRIP1,18,1,17
gs_ind_0,EFO_0009795,0.496891644671682,0.6267413775998218,1.1522504099191215,0.8058646888432432,SORL1;SMAD3;PKN2;NRIP1;RAI14;CLDN14,18,6,172
gs_ind_0,"EFO_0009806, MONDO_0005178",0.486728922989194,0.6204079933876346,2.2702327732387855,1.6346764252868313,LRIG3,18,1,20
gs_ind_0,EFO_0009924,0.024884548676384687,0.12848654159368914,2.759413461659591,10.191916256682306,PIM3;ETS1;ZNF100;HHEX;HIVEP2;STARD10;CDKN2B,18,7,88
gs_ind_0,EFO_0009925,0.029867010952540532,0.14226128901078516,5.62942942942943,19.764930781644093,CDKN2B;TRIB1;IRF2,18,3,21
gs_ind_0,EFO_0009926,0.022826200972513925,0.12190787098182192,6.313498622589532,23.864054013083017,PHACTR1;CDKN2B;ATP2B1,18,3,19
gs_ind_0,EFO_0009928,0.031101550822513712,0.14292208812970902,3.3190767141887303,11.518847755422355,ZFP36L2;ATP2B1;NRIP1;CMIP;SLC4A7,18,5,54
gs_ind_0,EFO_0009929,0.08021582693735582,0.27300416569712094,2.880259111431002,7.266992934900049,CDKN2B;ZFP36L2;ATP2B1;CMIP,18,4,50
gs_ind_0,EFO_0009930,0.04668454586630571,0.19650936748375195,2.6079933023153674,7.991783653786315,ATP2B1;PLPP3;CMIP;ZFP91;SLC4A7;CDKN2B,18,6,80
gs_ind_0,EFO_0009931,0.0016176012078058383,0.018299113663303546,3.2497256882070205,20.88537267981889,ZFP36L2;ATP2B1;SOX7;PLPP3;NRIP1;CMIP;ZFP91;SLC4A7;CDKN2B;FOSL2;TRIB1,18,11,118
gs_ind_0,EFO_0009932,0.020509485449972026,0.12190787098182192,3.217647754736433,12.506571433461819,SMAD3;MAFB;ZFP91;CDKN2B;TRIB1;VEGFA,18,6,66
gs_ind_0,EFO_0009933,0.020996485878540323,0.12190787098182192,2.8660458546410497,11.072682111918194,TICAM1;ETS1;BHLHE40;PANX1;SLC25A37;IFIH1;CD69,18,7,85
gs_ind_0,EFO_0009939,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,PHACTR1,18,1,8
gs_ind_0,EFO_0009941,0.01401458570552833,0.1014656005080251,5.2672712086863145,22.478905030559854,LRRC32;TSLP;ZFP36L1;SMAD3,18,4,29
gs_ind_0,EFO_0009942,0.016805914097474395,0.11061347096883146,7.186276558690352,29.363301542961487,LRRC32;ZFP36L1;SMAD3,18,3,17
gs_ind_0,EFO_0010066,0.20802903310327486,0.4160580662065497,6.822722367812548,10.712203743531026,FOXO1,18,1,7
gs_ind_0,EFO_0010067,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,FOXO1,18,1,8
gs_ind_0,EFO_0010071,0.15343732445218713,0.36784312219663406,9.857715430861724,18.477923875663645,TNFAIP2,18,1,5
gs_ind_0,EFO_0010092,0.5356642958191504,0.6463000562058102,1.9667334669338676,1.2277287014410354,SORL1,18,1,23
gs_ind_0,EFO_0010125,0.5522669938317079,0.659647872797557,1.3527956731212967,0.8031868052648502,PDCD5;STX11,18,2,56
gs_ind_0,EFO_0010176,0.4697585982199461,0.6139083485762472,1.5872655286558057,1.199236783422544,CDKN2B;TICAM1,18,2,48
gs_ind_0,EFO_0010241,0.09509861108303085,0.27321981914331084,17.74869739478958,41.75986140674661,IRF1,18,1,3
gs_ind_0,EFO_0010599,0.25911349688668533,0.43225385194921706,5.215961334433573,7.044098935224395,IL1R1,18,1,9
gs_ind_0,EFO_0010605,0.3516442816804437,0.513287217614196,3.544929859719439,3.7049308990680903,PTPN1,18,1,13
gs_ind_0,EFO_0010619,0.25911349688668533,0.43225385194921706,5.215961334433573,7.044098935224395,TNFAIP2,18,1,9
gs_ind_0,EFO_0010638,0.016620605843278374,0.11061347096883146,3.9632174318455085,16.237745847462264,SMAD3;TSLP;ZNF217;LRRC32;TRAF1,18,5,46
gs_ind_0,EFO_0010700,0.045429677686354274,0.19347698026423818,1.5333587434688012,4.740516088462877,EHD4;ZFP36L2;BMP2;ZNF217;PDCD5;VEGFA;BAZ1A;FAM43A;CDKN2B;RHBDF2;IRF1;SBNO2;JAG1;MYC;PEPD;ASH1L;NCOA7;ATP2B1;FNDC3B;SLC25A37;NFKB1;RAI14;IL6ST;TRIB1,18,24,510
gs_ind_0,EFO_0010701,0.6271548238573026,0.7139309630073696,0.978004092108688,0.4562993895523681,ZFP36L2;TGIF1;ZNF217;BAZ1A;RHD;NFKB1;CFLAR;KLF10;TRIB1;ETV6,18,10,325
gs_ind_0,EFO_0010724,0.9599537180657609,0.9819039050379682,0.4587709450314241,0.018750063044276837,HIVEP2,18,1,96
gs_ind_0,EFO_0010736,0.20227836370398808,0.4160580662065497,1.2901184921780844,2.0617518983575716,ETS1;MSX1;FOXC2;VEGFA;COLEC12;DAAM1;EPHB1;DMRTA1;CDC42EP3;ARL4C;PRRC2C;JAG1;ZNF827;AFAP1;MTHFSD;ADAMTS9;S1PR1;MEIS2;SREBF1,18,19,471
gs_ind_0,EFO_0010762,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,CSF1,18,1,8
gs_ind_0,EFO_0010917,0.18118619935541952,0.39814226627066707,8.064310439059938,13.775697430752118,TRIB1,18,1,6
gs_ind_0,EFO_0010934,0.41256469759174774,0.5711914234068842,1.5100346531003466,1.3369276672641306,ZNF827;CSF1;EPHA2,18,3,71
gs_ind_0,EFO_0010972,0.496891644671682,0.6267413775998218,1.1522504099191215,0.8058646888432432,ITGAV;CLDN14;CMIP;GALNT18;MYC;AFAP1,18,6,172
gs_ind_0,EFO_0020067,0.18118619935541952,0.39814226627066707,8.064310439059938,13.775697430752118,TRIB1,18,1,6
gs_ind_0,EFO_0020864,0.46930154702115073,0.6139083485762472,2.3932730325515896,1.8105344068555729,MSX1,18,1,19
gs_ind_0,EFO_0020865,0.3906346946557449,0.5478696311449409,1.8703359396887655,1.7580829411074719,ZNF827;PHACTR1,18,2,41
gs_ind_0,EFO_0600004,0.46930154702115073,0.6139083485762472,2.3932730325515896,1.8105344068555729,DAAM1,18,1,19
gs_ind_0,EFO_0600047,0.19675673151173909,0.41538378153840105,3.1506057622329724,5.1222144535070155,CDKN2B;MAFB,18,2,25
gs_ind_0,EFO_0600049,0.20802903310327486,0.4160580662065497,6.822722367812548,10.712203743531026,PEPD,18,1,7
gs_ind_0,EFO_0600088,0.021814668004388735,0.12190787098182192,4.550589610478908,17.40679110689548,NFKBIE;FOXO1;S1PR1;IFIH1,18,4,33
gs_ind_0,EFO_1000294,0.25911349688668533,0.43225385194921706,5.215961334433573,7.044098935224395,NRIP1,18,1,9
gs_ind_0,EFO_1000391,0.39349752513172553,0.5478696311449409,3.055144772303227,2.8494739553850588,TSLP,18,1,15
gs_ind_0,EFO_1000418,0.02626520463517402,0.12848654159368914,11.416963318371769,41.55215483194307,CDKN2B;ARL14EP,18,2,8
gs_ind_0,EFO_1000438,0.51989202325866,0.6379691946428303,2.058489071165587,1.3465279711602052,MAFB,18,1,22
gs_ind_0,EFO_1000627,0.11977203646946923,0.3284657363783929,3.012121212121212,6.3922183295908,IFIH1;CD69;VEGFA,18,3,37
