motif	stat	pval	program_name
AHR.H12CORE.0.P.B	-0.0048563063097607365	0.7199951379683779	0
AHR.H12CORE.0.P.B	-0.0045793705712322864	0.7353456838511672	1
AHR.H12CORE.0.P.B	-0.0033619007062432593	0.8040137935081801	2
AHR.H12CORE.0.P.B	-0.0039229244697307685	0.7721469909585656	3
AHR.H12CORE.0.P.B	-0.0040855775276382525	0.7629769098278856	4
AHR.H12CORE.0.P.B	0.0006215544349078446	0.963406376638897	5
AHR.H12CORE.0.P.B	-0.006366364630544611	0.6384040888579172	6
AHR.H12CORE.0.P.B	-0.004306642010059042	0.7505670465485608	7
AHR.H12CORE.0.P.B	-0.0034671774818198944	0.798007318934834	8
AHR.H12CORE.0.P.B	-0.004662660111421589	0.7307174973162167	9
AHR.H12CORE.0.P.B	-0.005850658350939024	0.6658403112190531	10
AHR.H12CORE.0.P.B	-0.0023089376562186914	0.8646703697617028	11
AHR.H12CORE.0.P.B	-0.004226048291487127	0.7550840453080433	12
AHR.H12CORE.0.P.B	-0.0020142665514543932	0.8818052499394609	13
AHR.H12CORE.0.P.B	-0.004471936376432931	0.741329720279212	14
AHR.H12CORE.0.P.B	-0.005435687894948638	0.6882488899867271	15
AHR.H12CORE.0.P.B	-0.002909463381964502	0.829954865483063	16
AHR.H12CORE.0.P.B	-0.005758737539301176	0.6707792896362118	17
AHR.H12CORE.0.P.B	-0.005068106083879851	0.708330395481832	18
AHR.H12CORE.0.P.B	-0.003820102000782452	0.7779604809499291	19
AHR.H12CORE.0.P.B	-0.004346413843340095	0.7483411081808943	20
AHR.H12CORE.0.P.B	-0.0046839098906983	0.7295382612604124	21
AHR.H12CORE.0.P.B	-0.004306054498403854	0.7505999438451073	22
AHR.H12CORE.0.P.B	-0.004056329910706793	0.7646234283580866	23
AHR.H12CORE.0.P.B	-0.005802852661648599	0.6684071576551109	24
AHR.H12CORE.0.P.B	-0.005551436279773477	0.6819698128276565	25
AHR.H12CORE.0.P.B	-0.0021346124635062756	0.8748000823319827	26
AHR.H12CORE.0.P.B	-0.004200695728803001	0.756506709766968	27
AHR.H12CORE.0.P.B	-0.0033849165004076727	0.8026996456274187	28
AHR.H12CORE.0.P.B	-0.006448950453123536	0.6340547926458122	29
AHR.H12CORE.0.P.B	-0.004298411440092057	0.7510279527398492	30
AHR.H12CORE.0.P.B	-0.0044670893736558255	0.7416000683608858	31
AHR.H12CORE.0.P.B	-0.0028004425942193454	0.8362346678151348	32
AHR.H12CORE.0.P.B	-0.005070314464246285	0.7082091242705431	33
AHR.H12CORE.0.P.B	-0.004845069211569522	0.7206158669875034	34
AHR.H12CORE.0.P.B	-0.0015741952181363558	0.9074959009658278	35
AHR.H12CORE.0.P.B	-0.004953591057522441	0.7146289522349576	36
AHR.H12CORE.0.P.B	0.0015389213842685078	0.9095596900123483	37
AHR.H12CORE.0.P.B	0.0028610356290921326	0.832743079935276	38
AHR.H12CORE.0.P.B	0.02426423065984219	0.07324475723229071	39
AHR.H12CORE.0.P.B	-0.00290410485904706	0.8302632763241922	40
AHR.H12CORE.0.P.B	-0.004192141629198555	0.7569869113751053	41
AHR.H12CORE.0.P.B	0.001022553972372372	0.9398337859498737	42
AHR.H12CORE.0.P.B	-0.005445876858865571	0.6876952918393476	43
AHR.H12CORE.0.P.B	-0.0033248424711196183	0.8061308944416261	44
AHR.H12CORE.0.P.B	-0.0026450337990076705	0.8452044800894745	45
AHR.H12CORE.0.P.B	-0.0012836229204954187	0.924513939182627	46
AHR.H12CORE.0.P.B	-0.003994618207268475	0.7681010229123864	47
AHR.H12CORE.0.P.B	-0.003843986178829614	0.7766089694484082	48
AHR.H12CORE.0.P.B	-0.004949775385268265	0.7148391596113687	49
AHR.H12CORE.0.P.B	-0.004165899573596612	0.7584606465874605	50
AHR.H12CORE.0.P.B	-0.0030485090769659055	0.821961353576055	51
AHR.H12CORE.0.P.B	-0.003746384547380841	0.7821360810667036	52
AHR.H12CORE.0.P.B	-0.003935346373975239	0.7714455253945988	53
AHR.H12CORE.0.P.B	-0.004396345442283661	0.7455495191700234	54
AHR.H12CORE.0.P.B	-0.004106697015183959	0.7617886367126762	55
AHR.H12CORE.0.P.B	-0.0040047257873543195	0.7675311160876235	56
AHR.H12CORE.0.P.B	-0.0032491088355270223	0.8104618877741913	57
AHR.H12CORE.0.P.B	-0.003016350169752737	0.8238085074535718	58
AHR.H12CORE.0.P.B	-0.000867314944292717	0.9489543346447393	59
AHRR.H12CORE.0.P.C	-0.0048563063097607365	0.7199951379683779	0
AHRR.H12CORE.0.P.C	-0.0045793705712322864	0.7353456838511672	1
AHRR.H12CORE.0.P.C	-0.0033619007062432593	0.8040137935081801	2
AHRR.H12CORE.0.P.C	-0.0039229244697307685	0.7721469909585656	3
AHRR.H12CORE.0.P.C	-0.0040855775276382525	0.7629769098278856	4
AHRR.H12CORE.0.P.C	0.0006215544349078446	0.963406376638897	5
AHRR.H12CORE.0.P.C	-0.006366364630544611	0.6384040888579172	6
AHRR.H12CORE.0.P.C	-0.004306642010059042	0.7505670465485608	7
AHRR.H12CORE.0.P.C	-0.0034671774818198944	0.798007318934834	8
AHRR.H12CORE.0.P.C	-0.004662660111421589	0.7307174973162167	9
AHRR.H12CORE.0.P.C	-0.005850658350939024	0.6658403112190531	10
AHRR.H12CORE.0.P.C	-0.0023089376562186914	0.8646703697617028	11
AHRR.H12CORE.0.P.C	-0.004226048291487127	0.7550840453080433	12
AHRR.H12CORE.0.P.C	-0.0020142665514543932	0.8818052499394609	13
