program_name	motif	stat	pval	adj_pval
1	AHR	1.59495511775208	0.0446309004228853	0.210088000164738
10	AHR	1.24251820313464	0.351685155325141	0.676330414227215
11	AHR	0.901665921288014	0.681554819124205	0.885288972653659
12	AHR	1.20433911903301	0.446281627990577	0.745747993911817
13	AHR	0.949163473105877	0.829277343732936	0.947305765134898
14	AHR	0.643687380908476	0.0457641726221999	0.213262194864908
15	AHR	0.439418279693742	0.000179693569988498	0.00331628932891086
16	AHR	1.37878135639651	0.180676408341553	0.48599931837851
17	AHR	0.808541460890833	0.366645019802179	0.688890360533074
18	AHR	0.589504629234316	0.0162787250971886	0.103696946847089
19	AHR	0.856784092472822	0.4840251099313	0.773326615235768
2	AHR	1.03635394390966	0.896506263441415	0.968003750261008
20	AHR	0.788272288842544	0.292541364597907	0.623370013053446
21	AHR	0.669522549977958	0.0741358045906767	0.289696621690552
22	AHR	1.264557240167	0.31778049257826	0.64596124748681
23	AHR	1.16543303818484	0.535096584155165	0.805769165834394
24	AHR	1.33503094378546	0.224892747773215	0.544991254894881
25	AHR	0.794354565344673	0.324093777674241	0.651660856856998
26	AHR	1.88471630244648	0.00608099764156626	0.05087747151399
27	AHR	0.545604551219692	0.0116610416071992	0.08158310542274019
28	AHR	0.536159125571937	0.00886543240086987	0.0670682488413482
29	AHR	0.493823754789272	0.0013925665777188	0.0166566709031029
3	AHR	1.03276481149013	0.899913786698133	0.969101139666673
30	AHR	1.27558915994443	0.291291821662563	0.622031005989555
31	AHR	0.392978347771202	2.18097007690991e-05	0.000562079083484891
32	AHR	1.52433506235515	0.11837431738775	0.382314126762376
33	AHR	1.03635394390966	0.88055736066139	0.962388677035459
34	AHR	1.64659420289855	0.0434144258949022	0.20637729430672
35	AHR	0.996505334776558	0.987828223904531	0.996602841660253
36	AHR	0.885917605971627	0.578531964996552	0.831429430108736
37	AHR	0.835951571248023	0.438506346902094	0.740973142245493
38	AHR	0.488676526355707	0.0028655358104528	0.028951204510477
39	AHR	0.442493270586512	0.000214182623300695	0.00382758387966311
4	AHR	1.42663176286594	0.0941384357278478	0.334725425355845
40	AHR	1.27558915994443	0.254628093458613	0.581524410001623
41	AHR	0.942523001884492	0.786317304966809	0.929543004644244
42	AHR	1.17534726445618	0.487806695136987	0.776134271698567
43	AHR	0.66467479906877	0.0681005813912428	0.275166180852709
44	AHR	1.00001551662606	0.999946134530586	0.999970752225126
45	AHR	1.07364033724331	0.792532071700906	0.932471693676596
46	AHR	0.982703395259449	0.93900979253387	0.981967864807708
47	AHR	0.794354565344673	0.324093777674241	0.651660856856998
48	AHR	1.23391248391248	0.347588657118629	0.67293949526821
49	AHR	1.42519630324508	0.126761650495823	0.398010222087063
5	AHR	0.571764273557172	0.0134346725988892	0.090560305503963
50	AHR	0.841801449569371	0.431857589426241	0.735944169242302
51	AHR	1.73385613965131	0.0438594594502418	0.207690748760646
52	AHR	1.04726985699251	0.832113799371389	0.947869102624773
53	AHR	1.21288226383614	0.395219271242227	0.710534070897551
54	AHR	1.45669077757685	0.101382618832069	0.349767451754598
55	AHR	1.51359814620551	0.106024868029956	0.35901384956459
56	AHR	1.65781054128389	0.054012471577079	0.238062781625537
57	AHR	1.62930114779026	0.0341157086594996	0.175193436883549
58	AHR	1.46158852269526	0.117265823624822	0.380093979862772
59	AHR	1.61743216832357	0.0397569582314875	0.194008606843227
6	AHR	0.847732295064716	0.520086061143675	0.796533251992685
60	AHR	1.6225845410628	0.0364996641352967	0.183313208642843
7	AHR	1.89199875605313	0.0096094537582387	0.0710735636670896
8	AHR	0.799970211498362	0.340706384460686	0.667021993911977
9	AHR	0.794354565344673	0.294848091522435	0.625841536167701
1	AIRE	0.792162956988719	0.55980553387816	0.819957779594125
10	AIRE	0.79492519047807	0.566344191268613	0.823896407819979
11	AIRE	0.854435073741312	0.704314607788384	0.896251977330415
12	AIRE	1.46285068649308	0.339614339327639	0.665756459781668
13	AIRE	0.318576371725161	0.00345631175854411	0.0330887069601843
14	AIRE	1.1272063968016	0.764980361919001	0.920685250401005
15	AIRE	0.472574004713614	0.0580609948789077	0.249148279313462
16	AIRE	1.48432760364004	0.352830507334285	0.67715451017806
17	AIRE	0.814803579554072	0.668908929800261	0.879702903000465
18	AIRE	0.474221847156259	0.0596916004051196	0.254043943251389
19	AIRE	0.160530352838045	1.12399770625801e-06	4.29105139362787e-05
2	AIRE	0.631909301322035	0.249437419868565	0.575031875925665
20	AIRE	0.505939807165415	0.0962301527158703	0.338886029451212
21	AIRE	0.496718735557815	0.0846124611210591	0.314099126485734
22	AIRE	1.3057288712422	0.506102144095073	0.786934202003593
23	AIRE	0.647656940760389	0.281650796455988	0.611897916887321
24	AIRE	0.470937372083504	0.0564680031852219	0.244821249800802
25	AIRE	0.800506807115174	0.57953249336043	0.831873720833715
26	AIRE	0.15501078001078	4.31857709759423e-07	1.81032612697913e-05
27	AIRE	0.803326585762293	0.586181308075193	0.836372360603265
28	AIRE	1.11159420289855	0.790356235543685	0.931422487170259
29	AIRE	0.800506807115174	0.57953249336043	0.831873720833715
3	AIRE	0.789419514203376	0.553304409809471	0.81535371400184
30	AIRE	1.26532055311125	0.551821737194803	0.814588445918335
31	AIRE	0.797706408390029	0.572919981189241	0.827390394848614
32	AIRE	0.809025093132776	0.599586119562656	0.843678271762101
33	AIRE	1.27851416779109	0.536360553444882	0.8066761317357
34	AIRE	0.674022988505747	0.432887552907968	0.736559812303508
35	AIRE	0.317458128078818	0.00329945243026135	0.0320094955140234
36	AIRE	0.472574004713614	0.0580609948789077	0.249148279313462
