program_name	batch_max_pearsonr_stat	batch_max_pearsonr_pval
1	0.17060022264095878	0.0
2	0.05525426069952103	1.2778651023213875e-144
3	0.03328297908169686	1.2566745469568176e-53
4	0.2390798592856962	0.0
5	0.02398397391055867	1.1446267024840212e-28
6	0.0146885312687161	1.029003453859234e-11
7	0.26893267272886484	0.0
8	0.09068525633507096	0.0
9	0.6493423930256347	0.0
10	0.01196560656677758	3.0027628852717216e-08
11	0.016767560332033346	8.143324743636174e-15
12	0.03415261830320937	2.2600722503476464e-56
13	0.11574791371518786	0.0
14	0.00881108745872599	4.4967929893666264e-05
15	0.13718322123558285	0.0
16	0.014311511379275964	3.4080322357141716e-11
17	0.01683316591681567	6.40438761050446e-15
18	0.07886928061263382	5.934454653095031e-293
19	0.19501429670505593	0.0
20	0.021429890487154334	3.2419269682104337e-23
21	0.01584303175563141	2.182552606700206e-13
22	0.6102946832809035	0.0
23	0.213848180069386	0.0
24	0.0051708731687441	0.01664018395697386
25	0.16674491283516488	0.0
26	0.2774175201498234	0.0
27	0.134271769082058	0.0
28	0.0940658204802313	0.0
29	0.17940358864496553	0.0
30	0.242997472072814	0.0
31	0.08679108748274125	0.0
32	0.30486919189671907	0.0
33	0.10178566979882775	0.0
34	0.2194405604605352	0.0
35	0.16726750400030982	0.0
36	0.1604187647493088	0.0
37	0.1440506714428186	0.0
38	0.06097736776224183	9.59843976487275e-176
39	0.0629919993068445	1.9639331049483348e-187
40	0.058825995975060275	1.1044279624223804e-163
41	0.15733631032435877	0.0
42	0.05786981744062269	1.8364515054387397e-158
43	0.19599769120148225	0.0
44	0.21779050377927123	0.0
45	0.5431363477910951	0.0
46	0.1863946576726615	0.0
47	0.22868222650310552	0.0
48	0.05277437426954423	4.345241276309825e-132
49	0.1733520637534795	0.0
50	0.13870922131500432	0.0
51	0.18385206482009359	0.0
52	0.24981227121608107	0.0
53	0.10563628795846611	0.0
54	0.11589249359669554	0.0
55	0.6170705732488596	0.0
56	0.7124110521421534	0.0
57	0.2003447298545414	0.0
58	0.4584024143232548	0.0
59	0.26531081122404715	0.0
60	0.5818688811126317	0.0
