program_name	motif	stat	pval	adj_pval
2	XBP1	1.3376047431775	0.463730490354802	0.814329051964879
20	XBP1	1.78193293885602	0.207730945176476	0.5777557714682
21	XBP1	1.8996632996633	0.193166520413033	0.554860014818352
22	XBP1	0.680084539889224	0.297877911290191	0.683752609089286
23	XBP1	1.08056711915535	0.832605148053029	0.953512569708939
24	XBP1	0.774473016223375	0.517116416042908	0.841690487858281
25	XBP1	1.60246356572493	0.223525990998476	0.601997742658152
26	XBP1	0.507235857188223	0.0572617830666379	0.243345392624128
27	XBP1	0.645844881744272	0.226040137699796	0.60551047102329
28	XBP1	1.54195261578784	0.218602585236398	0.593901114149539
29	XBP1	1.41979727077513	0.322665104026559	0.706918163370358
3	XBP1	0.538029962636808	0.0917917992932479	0.344932697378603
30	XBP1	1.46436305656695	0.329679841696136	0.712435581818892
31	XBP1	1.17232704402516	0.689160496098821	0.905703499676243
32	XBP1	1.00713607310625	0.985028370142541	0.995347366855421
33	XBP1	0.284622610373454	0.000682968741414444	0.00478944006459416
34	XBP1	1.61611237780748	0.20060638584578	0.566983318079091
35	XBP1	0.777383931053656	0.486077540273978	0.825132702252366
36	XBP1	1.18606870229008	0.636440692225089	0.893577085219938
37	XBP1	1.99074403702385	0.050047763368451	0.218403701090134
38	XBP1	0.915310907237513	0.820868214284705	0.948550076144774
39	XBP1	1.33234103357942	0.469020111528933	0.817387064439033
4	XBP1	0.780409530121743	0.493633806006935	0.828859190112697
40	XBP1	0.523217208323591	0.0739990904750014	0.295462192963574
41	XBP1	1.02695752009185	0.940783891764119	0.983199813436351
42	XBP1	1.08491823137492	0.824382347013661	0.94994669268211
43	XBP1	0.447408293460925	0.0366412097817003	0.168871087914619
44	XBP1	0.759700985389059	0.505048798770457	0.835388866255646
45	XBP1	1.40992725716731	0.398060063479394	0.766125767788714
46	XBP1	0.981945661700263	0.961195502735402	0.988941994157021
47	XBP1	0.635977884965417	0.206691646693073	0.576016101474352
48	XBP1	1.54195261578784	0.255592832235507	0.641291818069101
49	XBP1	0.399073083778966	0.0114192065749831	0.0617160172144125
5	XBP1	0.496160635481024	0.0840658239259461	0.32266969054701
50	XBP1	0.640874289381992	0.216207851899976	0.590600205964215
51	XBP1	0.533714762500745	0.0863844508775071	0.329455888931669
52	XBP1	0.653443603401551	0.241389234720914	0.623444068698545
53	XBP1	0.538029962636808	0.0917917992932479	0.344932697378603
54	XBP1	0.913270661783573	0.802082898762879	0.941218371604929
55	XBP1	1.79053887795276	0.106388944960591	0.384150988671818
56	XBP1	0.658607213485262	0.331753916250956	0.713709427850734
57	XBP1	1.22924901185771	0.573746255605344	0.869052135057515
58	XBP1	0.705943862124572	0.355860794728265	0.733990102743145
59	XBP1	0.405577689243028	0.0137098080157782	0.0728719525162983
6	XBP1	0.94369807022246	0.893753381046203	0.971541196161981
60	XBP1	0.40890836071559	0.0150024136362379	0.0790305718337534
7	XBP1	1.2001287001287	0.649804221778037	0.897750827418433
8	XBP1	1.45296743263349	0.338004252673963	0.719232498407546
9	XBP1	0.93138583725686	0.845720365797973	0.957444055144061
1	Z324A	1.14802189088541	0.513245439487535	0.839369918926025
10	Z324A	0.695131782945736	0.113824465543806	0.402616514813222
11	Z324A	0.408276859130749	0.00253327783819734	0.0162254451731836
12	Z324A	0.575247448445947	0.0100325527614252	0.0547990075226741
13	Z324A	0.914420835374998	0.691064203207342	0.905796802049411
14	Z324A	1.06944168241026	0.766568130231975	0.929790671841554
15	Z324A	1.5690681740322	0.0360681157268713	0.166533363340452
16	Z324A	0.857330574967285	0.595980383175075	0.880060191661242
17	Z324A	0.922696296296296	0.774022061709774	0.931664714154875
18	Z324A	0.845768497935853	0.440022596456974	0.798523602531239
19	Z324A	1.08915698707517	0.687905960833522	0.905346310653225
2	Z324A	1.22162016601225	0.386098864884039	0.756591501018813
20	Z324A	0.737316001899335	0.269923334652522	0.656368089263723
21	Z324A	0.760569550930997	0.304677139235858	0.689993248462394
22	Z324A	1.04628390752188	0.838045994191284	0.955176541239945
23	Z324A	0.987397320690226	0.950648572195459	0.986716690779313
24	Z324A	1.04557479608379	0.839507521768871	0.955493477775755
25	Z324A	1.005297851387	0.97826278029749	0.993359601357671
26	Z324A	0.938410105051127	0.768695533599597	0.930021256497065
27	Z324A	1.03432209418125	0.875380969167411	0.96663816546654
28	Z324A	1.0864746088665	0.7022734929578	0.909104418260411
29	Z324A	1.21547310093288	0.362088137538813	0.738100929717242
3	Z324A	0.784334257565925	0.269211827970955	0.655445170223438
30	Z324A	0.80048366728556	0.30160533358681	0.687025345040011
31	Z324A	1.19332064801807	0.401022227584155	0.769190878656214
32	Z324A	1.0550050389588	0.807204186698357	0.943107464966638
33	Z324A	0.391816430823716	6.62962655626881e-06	5.98543177995195e-05
34	Z324A	0.748823358398353	0.184801987379495	0.542412927929051
