VarianceExplained	ProgramID
0.018046366646938483	K60_1
0.02676593633011204	K60_2
0.013373815804175293	K60_3
0.029386613120074845	K60_4
0.0021820988550315112	K60_5
0.0016477201861531121	K60_6
0.023512988286723546	K60_7
0.01486149569503492	K60_8
0.029699623869986147	K60_9
0.0018460710483101384	K60_10
0.0033650773336847406	K60_11
0.01296390254145896	K60_12
0.008912236269509655	K60_13
0.00028083216578678183	K60_14
0.015150428365453994	K60_15
0.0032485064946697895	K60_16
0.003378421247697272	K60_17
0.004095032670082488	K60_18
0.007991376474191347	K60_19
0.0056376063750436245	K60_20
0.0034572509014736408	K60_21
0.022051676218001748	K60_22
0.01465563069804987	K60_23
0.000962975935401289	K60_24
0.02201273125756864	K60_25
0.019365439454609223	K60_26
0.013334031709310135	K60_27
0.017925746418456123	K60_28
0.013986228590942673	K60_29
0.019294090553490517	K60_30
0.013365944110588335	K60_31
0.004865439646694947	K60_32
0.012393091039246906	K60_33
0.019420734523751593	K60_34
0.018413025613594036	K60_35
0.025662085753408448	K60_36
0.015873439321766214	K60_37
0.024357822327851997	K60_38
0.02036186940836704	K60_39
0.015039564716613163	K60_40
0.023960398274559536	K60_41
0.01550880183602632	K60_42
0.007400014346229722	K60_43
0.012862151734206684	K60_44
0.01978974164496272	K60_45
0.023772397106562426	K60_46
0.014546969963371792	K60_47
0.02380107902344164	K60_48
0.0202752901623916	K60_49
0.01974847317324968	K60_50
0.023902342598485338	K60_51
0.020745191390523665	K60_52
0.015503665216159646	K60_53
0.02550051029860556	K60_54
0.010646774147047955	K60_55
0.022776249422366	K60_56
0.022584609945655254	K60_57
0.013053961537069503	K60_58
0.007343471835656201	K60_59
0.03042778357846554	K60_60
