program_name	batch_11AMDox_pearsonr_stat	batch_2PMDox1_pearsonr_stat	batch_2PMDox2_pearsonr_stat	batch_11AMDox_pearsonr_pval	batch_2PMDox1_pearsonr_pval	batch_2PMDox2_pearsonr_pval	batch_11AMDox_pearsonr_adj_pval	batch_2PMDox1_pearsonr_adj_pval	batch_2PMDox2_pearsonr_adj_pval	batch_11AMDox_pearsonr_log2FC	batch_2PMDox1_pearsonr_log2FC	batch_2PMDox2_pearsonr_log2FC
1	0.17060022264095878	-0.08303227359435855	-0.07030391903250463	0.0	0.0	4.5325968165045495e-233	0.0	0.0	4.5325968165045495e-233	0.6801285778288333	-0.35281038046215585	-0.27840246622160564
10	0.01196560656677758	0.002950741187475988	-0.013321608467457483	3.0027628852717216e-08	0.17179993524393455	6.8595895144596e-10	3.0027628852717216e-08	0.17179993524393455	6.8595895144596e-10	0.26690619838529217	0.06270062989481597	-0.2778159242344304
11	0.016767560332033346	0.0072843742401898035	-0.021679421592759894	8.143324743636174e-15	0.0007426768872030555	1.0109202335489256e-23	8.143324743636174e-15	0.0007426768872030555	1.0109202335489256e-23	0.2808931102042785	0.11583067470906686	-0.34206469859982513
12	0.03415261830320937	-0.015527011816998972	-0.015121586632116008	2.2600722503476464e-56	6.444142804527489e-13	2.5060963712237754e-12	2.2600722503476464e-56	6.444142804527489e-13	2.5060963712237754e-12	0.4193465040014588	-0.19169231085344032	-0.1763937722475839
13	0.11574791371518786	-0.013617265463893458	-0.08854859618011743	0.0	2.859217529831177e-10	0.0	0.0	2.859217529831177e-10	0.0	0.4717750645504311	-0.055303300342268574	-0.3502247081441999
14	0.00881108745872599	0.00047002575390686033	-0.00818129360116408	4.4967929893666264e-05	0.8276930417913178	0.00015144557912065366	4.4967929893666264e-05	0.8276930417913178	0.00015144557912065366	0.40157057938678875	0.020935992805663977	-0.3583013184109484
15	0.13718322123558285	-0.06343755143050604	-0.05971759908152552	0.0	4.533239243159597e-190	1.2516089880304793e-168	0.0	4.533239243159597e-190	1.2516089880304793e-168	0.5067710997437695	-0.24018102899059185	-0.21285639127198733
16	0.014311511379275964	0.005018781858965391	-0.017357734088530585	3.4080322357141716e-11	0.02011849350215622	9.080469920528125e-16	3.4080322357141716e-11	0.02011849350215622	9.080469920528125e-16	0.21310766358347039	0.07051715696425448	-0.23884993325381332
17	0.01683316591681567	-0.0016432103138666952	-0.01319997455936826	6.40438761050446e-15	0.44669027594774713	9.78004041583521e-10	6.40438761050446e-15	0.44669027594774713	9.78004041583521e-10	0.47865962693951286	-0.04655654066034507	-0.3650532295610862
18	0.07886928061263382	-0.04374149491927723	-0.027380829310040284	5.934454653095031e-293	2.58409974890846e-91	7.441549497970935e-37	5.934454653095031e-293	2.58409974890846e-91	7.441549497970935e-37	0.5278726287477257	-0.30350036530912244	-0.17690174690170501
19	0.19501429670505593	-0.06658796234395581	-0.10745244859380698	0.0	3.0140336560952396e-209	0.0	0.0	3.0140336560952396e-209	0.0	0.5630599447322264	-0.19754139336873786	-0.3038810129782932
2	0.05525426069952103	0.016959322671184766	-0.06470362905517042	1.2778651023213875e-144	4.024909213686167e-15	1.1531760696508675e-197	1.2778651023213875e-144	4.024909213686167e-15	1.1531760696508675e-197	0.3639841318451714	0.10752352723937225	-0.40901727175501584
20	0.021429890487154334	-0.00397731844071644	-0.015001658772917145	3.2419269682104337e-23	0.06549876684913296	3.720418174227463e-12	3.2419269682104337e-23	0.06549876684913296	3.720418174227463e-12	0.3731847211352655	-0.06810515480224505	-0.24775307061872057
21	0.01584303175563141	0.0064027533051700765	-0.020025085719730697	2.182552606700206e-13	0.0030264260404406075	1.7892274139215286e-20	2.182552606700206e-13	0.0030264260404406075	1.7892274139215286e-20	0.3922973407106326	0.1525171550205953	-0.4809929703969394
22	0.6102946832809035	-0.2610096154748583	-0.28594976156448026	0.0	0.0	0.0	0.0	0.0	0.0	1.8890656999603943	-1.0684666432761105	-1.0588707619640998
23	0.17541265540483278	-0.38460047514059603	0.213848180069386	0.0	0.0	0.0	0.0	0.0	0.0	0.6157566413363211	-1.8304823267692598	0.7102848399393407
24	0.0051708731687441	0.002811686824628448	-0.00722618069095695	0.01664018395697386	0.19289967966006338	0.0008187704019100645	0.01664018395697386	0.19289967966006338	0.0008187704019100645	0.22067068912141058	0.11283854685883521	-0.28637363389875353
25	0.02188152090906756	0.16674491283516488	-0.17865137028369035	3.895945661327809e-24	0.0	0.0	3.895945661327809e-24	0.0	0.0	0.11097093004466368	0.7405904532990526	-0.8758173179755662
26	0.2774175201498234	-0.04519033794360416	-0.20022373815258326	0.0	2.43394603286175e-97	0.0	0.0	2.43394603286175e-97	0.0	0.7551433247762016	-0.1285723631608441	-0.5604539902636639
27	0.134271769082058	0.0002196737327382868	-0.1180350873822634	0.0	0.9189731139918988	0.0	0.0	0.9189731139918988	0.0	0.42743790182742253	0.0006877070469317512	-0.3626105894198601
28	0.0940658204802313	-0.04995129272534186	-0.0347778392289843	0.0	1.592200325545635e-118	2.1729455074178414e-58	0.0	1.592200325545635e-118	2.1729455074178414e-58	0.39253983888649485	-0.20921118223488383	-0.13694487734131794
29	0.17940358864496553	-0.04860752480565689	-0.1109476939647028	0.0	2.4894161504378e-112	0.0	0.0	2.4894161504378e-112	0.0	0.6373469725111438	-0.17883400999420546	-0.3929592441473403
3	0.02463174042334387	0.03328297908169686	-0.053441536742850695	3.801379844530017e-30	1.2566745469568176e-53	2.1056317302471035e-135	3.801379844530017e-30	1.2566745469568176e-53	2.1056317302471035e-135	0.2537442857475526	0.3175551378677664	-0.5247709026987074
30	0.242997472072814	-0.03660560904424833	-0.178228909917924	0.0	1.7043203866631032e-64	0.0	0.0	1.7043203866631032e-64	0.0	0.7410596276575288	-0.11629589417122148	-0.5577778610121923
31	0.08679108748274125	-0.04615558833033647	-0.03202382548981399	0.0	1.8311987644262112e-101	8.895019951306311e-50	0.0	1.8311987644262112e-101	8.895019951306311e-50	0.3694583986362155	-0.19617605901014412	-0.12810532927941215
32	0.30486919189671907	-0.22919166752221215	-0.04836133719383315	0.0	0.0	3.2551837660598755e-111	0.0	0.0	3.2551837660598755e-111	1.0154786941772467	-0.9241927960894702	-0.16523042994030207
33	-0.0068581488721360835	0.10178566979882775	-0.09131460127220828	0.0014935482309861444	0.0	0.0	0.0014935482309861444	0.0	0.0	-0.096766575445209	1.1904259239374688	-1.2622278911115328
34	0.2194405604605352	-0.017166126133664944	-0.17614648455903933	0.0	1.866038661258572e-15	0.0	0.0	1.866038661258572e-15	0.0	0.6556720609535205	-0.052429278341994734	-0.5327751710758675
35	0.16726750400030982	0.0148092620595014	-0.1609405414983963	0.0	6.968299179859837e-12	0.0	0.0	6.968299179859837e-12	0.0	0.5361375805697487	0.04717769175275243	-0.5126255969979259
36	0.1604187647493088	0.15532552327118293	-0.28929958842250175	0.0	0.0	0.0	0.0	0.0	0.0	0.5428869973809404	0.5006586499459972	-1.0315204817250914
37	0.1440506714428186	-0.007885789123897417	-0.11886532531492802	0.0	0.0002603710675789746	0.0	0.0	0.0002603710675789746	0.0	0.511005154718307	-0.02794282415149131	-0.4137626746988604
38	0.06097736776224183	0.010958048112895531	-0.06398699324611373	9.59843976487275e-176	3.882187646138805e-07	2.3941271181232213e-193	9.59843976487275e-176	3.882187646138805e-07	2.3941271181232213e-193	0.48104456413790386	0.08488239743914212	-0.4969142468947799
39	0.0629919993068445	0.0282658093063859	-0.08230542933798167	1.9639331049483348e-187	3.656015954439668e-39	6.2621e-319	1.9639331049483348e-187	3.656015954439668e-39	6.2621e-319	0.4156181461067353	0.1795376497571938	-0.5311357414210338
4	0.2390798592856962	-0.07235316866187544	-0.1406074997884088	0.0	9.14093110162655e-247	0.0	0.0	9.14093110162655e-247	0.0	0.7678899373646664	-0.24698866014227175	-0.4607956192458225
40	0.058825995975060275	0.019294523371931133	-0.0700709072235048	1.1044279624223804e-163	4.0420333844348863e-19	1.5433786390920967e-231	1.1044279624223804e-163	4.0420333844348863e-19	1.5433786390920967e-231	0.6119538107413054	0.19838621105974988	-0.7501130269370276
41	0.15733631032435877	-0.09914062172436572	-0.04326105010139619	0.0	0.0	2.3294435628276076e-89	0.0	0.0	2.3294435628276076e-89	0.4939548791892299	-0.32188979271819373	-0.13004326494689095
42	0.05786981744062269	-0.06333048731147811	0.009778446120040387	1.8364515054387397e-158	1.9575182781091604e-189	5.94468677503877e-06	1.8364515054387397e-158	1.9575182781091604e-189	5.94468677503877e-06	0.4715711574984291	-0.5494178249994521	0.0751219159600882
43	0.19599769120148225	0.10463271480710765	-0.2720454288528501	0.0	0.0	0.0	0.0	0.0	0.0	0.5683424678321812	0.2952518126791314	-0.812523247140669
44	0.21779050377927123	-0.11596784687434494	-0.0802192408614108	0.0	0.0	5.029790901500448e-303	0.0	0.0	5.029790901500448e-303	0.6649171387880235	-0.3778949805310088	-0.24209968884184835
45	-0.15295006516807214	0.5431363477910951	-0.38515953786846935	0.0	0.0	0.0	0.0	0.0	0.0	-0.600810776474461	1.6028501258948935	-1.3676247811794857
46	0.1863946576726615	-0.09635001484411179	-0.07142860681243321	0.0	0.0	1.5454719227425453e-240	0.0	0.0	1.5454719227425453e-240	0.6252982808393925	-0.34143063283710756	-0.23548788304886223
47	0.22868222650310552	0.01110289953679977	-0.2112884529663842	0.0	2.72219980913084e-07	0.0	0.0	2.72219980913084e-07	0.0	0.7664670950098791	0.038190991464299044	-0.7432273859574892
48	0.05277437426954423	0.038547083667772694	-0.08317083035675445	4.345241276309825e-132	2.5424270983661892e-71	0.0	4.345241276309825e-132	2.5424270983661892e-71	0.0	0.19607839418548464	0.13384298182439458	-0.2858015913984263
49	0.1201584554272094	-0.2915472278123364	0.1733520637534795	0.0	0.0	0.0	0.0	0.0	0.0	0.4133165549555796	-1.170503942611313	0.5486704174828534
