program_name	variance_explained_ratio
1	0.0180463666469384
2	0.026765936330112
3	0.0133738158041752
4	0.0293866131200748
5	0.0021820988550315
6	0.0016477201861531
7	0.0235129882867235
8	0.0148614956950349
9	0.0296996238699861
10	0.0018460710483101
11	0.0033650773336847
12	0.0129639025414589
13	0.0089122362695096
14	0.0002808321657867
15	0.0151504283654539
16	0.0032485064946697
17	0.0033784212476972
18	0.0040950326700824
19	0.0079913764741913
20	0.0056376063750436
21	0.0034572509014736
22	0.0220516762180017
23	0.0146556306980498
24	0.0009629759354012
25	0.0220127312575686
26	0.0193654394546092
27	0.0133340317093101
28	0.0179257464184561
29	0.0139862285909426
30	0.0192940905534905
31	0.0133659441105883
32	0.0048654396466949
33	0.0123930910392469
34	0.0194207345237515
35	0.018413025613594
36	0.0256620857534084
37	0.0158734393217662
38	0.0243578223278519
39	0.020361869408367
40	0.0150395647166131
41	0.0239603982745595
42	0.0155088018360263
43	0.0074000143462297
44	0.0128621517342066
45	0.0197897416449627
46	0.0237723971065624
47	0.0145469699633717
48	0.0238010790234416
49	0.0202752901623916
50	0.0197484731732496
51	0.0239023425984853
52	0.0207451913905236
53	0.0155036652161596
54	0.0255005102986055
55	0.0106467741470479
56	0.022776249422366
57	0.0225846099456552
58	0.0130539615370695
59	0.0073434718356562
60	0.0304277835784655
